eligibility_datetime_utc,item_id,eligibility,message
6/4/2025 8:50,29,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,270,TRUE,
6/4/2025 8:50,31,TRUE,
6/4/2025 8:50,26,TRUE,
6/4/2025 8:50,25,TRUE,
6/4/2025 8:50,34,TRUE,
6/4/2025 8:50,28,TRUE,
6/4/2025 8:50,32,TRUE,
6/4/2025 8:50,33,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,27,TRUE,
6/4/2025 8:50,23,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,24,TRUE,
6/4/2025 8:50,35,TRUE,
6/4/2025 8:50,30,TRUE,
6/4/2025 8:50,36,TRUE,
6/4/2025 8:50,19,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,15,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,16,TRUE,
6/4/2025 8:50,18,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,17,TRUE,
6/4/2025 8:50,21,TRUE,
6/4/2025 8:50,20,TRUE,
6/4/2025 8:50,22,TRUE,
6/4/2025 8:50,13,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,38,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,5,TRUE,
6/4/2025 8:50,7,TRUE,
6/4/2025 8:50,42,TRUE,
6/4/2025 8:50,14,TRUE,
6/4/2025 8:50,10,TRUE,
6/4/2025 8:50,6,TRUE,
6/4/2025 8:50,271,TRUE,
6/4/2025 8:50,4,TRUE,
6/4/2025 8:50,40,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,8,TRUE,
6/4/2025 8:50,39,TRUE,
6/4/2025 8:50,9,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
6/4/2025 8:50,3,TRUE,
